2023-10-25 22:14:54.214 [main] INFO  com.mufengxz.oriservice.OriServiceApplication - The following profiles are active: dev
2023-10-25 22:14:56.226 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-10-25 22:14:56.230 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-10-25 22:14:56.255 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 0 Redis repository interfaces.
2023-10-25 22:14:56.560 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=ba266104-479c-3376-98bb-3c5094b3547a
2023-10-25 22:14:56.709 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.mufengxz.servicebase.RedisConfig$$EnhancerBySpringCGLIB$$2b8b8216] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-25 22:14:56.787 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-10-25 22:14:57.123 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2023-10-25 22:14:57.139 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2023-10-25 22:14:57.140 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-10-25 22:14:57.140 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
